Beds,Baths,Basement,Parking Spaces,Garage Spaces,Carport Spaces,Lot Size SqFt,Price Sold,Kitchens,Fireplaces Total,Year Built (Est),SqFt Fin Total,SqFt Unfinished,Lot Size Acres,Sub area,Filename
4,2,1,7,0,1,7779,845000,2,1,1952,2386,603,0,39,21445349
4,3,0,8,0,0,13654,1100000,2,1,1949,2275,1134,0,10,21372604
4,3,1,8,2,1,9496,1199000,2,2,1974,2199,1045,0,12,21504608
5,4,1,4,2,0,6210,1326000,2,2,2003,2705,399,0,12,21211178
7,3,1,3,0,0,7540,1234000,2,1,1965,2165,0,0,15,22814713
5,2,1,1,1,0,5500,1210000,2,0,1954,2152,233,0,18,24638649
4,4,1,3,0,0,6120,925000,2,0,1917,3048,0,0,28,21051032
5,4,0,6,2,0,6869,1300717,2,1,2009,2738,565,0,38,24134983
5,4,1,2,1,0,7350,1175000,3,1,1992,3627,419,0,16,26206172
5,3,0,3,0,1,18003,951000,2,2,1963,2301,0,0,10,21395094
3,3,1,1,1,0,7611,1600000,2,1,1942,2244,118,0,34,22587617
6,4,1,2,2,0,7158,972500,2,1,1991,3401,0,0,38,21373619
4,3,1,3,0,0,6234,1120000,2,2,1978,2593,326,0,39,24440368
5,3,1,3,1,0,6501,1288888,2,1,2003,2515,115,0,13,21275853
4,2,1,3,0,0,8788,949900,2,2,1952,1924,533,0,16,21153585
5,2,1,1,0,0,64033,1300000,2,2,1969,2214,2108,1,38,23485505
4,2,1,8,0,0,69696,1375000,2,2,1970,2834,431,1,29,24434096
4,2,1,4,0,0,9425,1150000,2,1,1958,2310,0,0,39,22267081
7,3,1,6,0,0,65340,1460000,2,1,1949,3349,960,1,6,20986305
4,3,1,4,1,0,42600,1260000,2,1,1960,2138,832,1,40,22109487
6,4,1,6,0,0,10080,1195000,2,0,1927,2544,393,0,26,23992301
4,2,1,2,2,0,5221,846000,2,1,1948,2124,750,0,32,21355110
4,3,0,4,1,0,9351,1140000,2,1,1980,2277,0,0,18,24318593
5,5,1,3,3,0,11033,1998000,2,1,2018,3508,876,0,28,24299911
5,2,1,6,0,1,13584,1081000,2,0,1970,2161,503,0,14,22855195
5,3,1,4,0,0,10296,1161500,2,1,1934,2793,0,0,16,21421854
4,2,0,4,0,0,9010,1085000,2,1,1958,2273,75,0,32,23687084
5,3,1,4,2,0,10493,1865000,2,2,1974,2487,624,0,12,22503985
7,4,1,6,2,0,13092,1575000,2,2,1966,4085,857,0,17,23702324
5,4,1,2,2,0,7405,1500000,2,1,2010,3750,0,0,38,21354993
5,4,1,6,2,0,8231,1209000,2,2,1991,2846,493,0,38,20858049
4,3,0,2,0,0,11580,1515000,2,1,1969,2633,206,0,12,20974975
6,4,1,2,2,0,10309,1350000,2,2,1968,3219,249,0,12,21936403
4,3,0,2,1,0,11012,1865000,1,1,1963,2250,0,0,2,26036543
6,3,1,4,0,0,6234,987000,2,1,1917,2305,235,0,28,24593260
8,6,1,4,2,0,10947,1325000,2,1,2002,3564,395,0,36,20992815
6,2,0,2,1,0,11326,1550000,2,0,1951,1956,519,0,2,23105902
5,4,0,2,2,0,5570,1599000,2,1,2018,2291,478,0,15,21822289
5,2,1,2,0,0,6930,770000,2,0,1940,2240,0,0,19,20840159
4,2,1,4,1,0,6720,1025000,2,1,1949,2739,0,0,9,21248921
5,3,1,2,0,2,8400,1150000,2,2,1972,2422,294,0,12,20819782
2,2,1,3,0,1,6534,2200000,2,1,1978,2305,276,0,11,25890967
5,3,1,4,0,0,6500,950000,2,2,1975,2749,476,0,27,21079652
6,5,1,5,1,0,5869,1065000,2,1,1971,2816,147,0,18,21144636
5,3,1,4,0,0,7600,1165000,2,1,1958,2246,181,0,18,21513306
6,3,1,4,0,0,6000,1180000,2,2,1974,2282,0,0,12,23698153
4,3,1,2,0,0,8050,1279900,2,2,1940,2673,401,0,28,22901382
3,2,1,4,2,0,13680,1580000,1,1,1956,1892,1047,0,2,26099448
2,2,0,4,2,0,10452,1225000,1,1,1996,2070,604,0,12,25624253
3,3,1,5,2,0,13014,1810000,2,3,1966,2825,1485,0,12,21663961
5,4,1,6,0,0,11194,1169000,3,0,1995,2435,0,0,27,25984781
6,2,1,2,0,2,6820,880000,2,1,1955,1787,779,0,39,21759159
4,5,1,4,1,0,17500,1410000,2,2,1962,3089,442,0,11,21730628
5,3,0,3,2,0,7303,1318000,2,1,1991,1922,469,0,38,21879684
4,2,1,1,0,0,6600,1010000,2,1,1956,2024,108,0,9,23725774
5,3,1,5,0,2,6720,1407230,2,3,1955,2454,0,0,10,21201565
4,3,0,4,2,0,7193,1850000,2,2,2017,2768,515,0,16,21134761
5,4,1,6,2,0,12197,1752000,2,1,1990,3318,1528,0,7,24564357
6,3,0,4,2,0,10007,1703500,2,1,1994,3506,477,0,11,22727011
6,3,0,0,2,0,6750,1136000,2,1,1997,2710,1155,0,38,21005244
5,2,1,4,0,0,6378,1050000,2,0,1940,2120,100,0,28,22530651
7,4,1,1,1,0,6660,1030000,2,1,1975,2489,0,0,12,20756259
5,3,1,1,0,2,7790,1357000,2,1,1975,2786,0,0,16,24645909
6,4,1,7,2,0,10108,1800000,2,2,2004,3852,462,0,17,22399891
